Mailing Date,Trans Date,File Number,Sub File Number,PIC,Dest ZIP,Entry Facility ZIP,Mail Class,Dest Rate,Rate,eVS Zone,Mailer Zone,Weight,Man Postg ($),Man Surch ($),eVS Postage + Surch ($),Extra Serv code 1,Extra Serv code 2,Man Extra Serv fee 1($),Man Extra Serv fee 2($),eVS Extra Serv fee 1($),eVS Extra Serv fee 2($),Man Addl Sp Fee ($),eVS Addl Sp Fee ($),Total Variance ($)
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133757240729','87501','20260',PM,D,SP,'07','07',50.6323,1.990,0.000,69.990,'430',,0.000,0.000,0.000,0.000,0.000,0.000,68.000
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133757703550','20260','20260',PM,B,O3,'01','01',23.8137,1.990,0.000,9.160,'430',,0.000,0.000,0.000,0.000,0.000,0.000,7.170
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133757855968','87501','20260',PM,D,O3,'07','07',30.2882,1.990,0.000,30.520,'430',,0.000,0.000,0.000,0.000,0.000,0.000,28.530
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133759532566','87501','20260',PM,A,SP,'07','07',27.8493,1.990,0.000,42.460,'430',,0.000,0.000,0.000,0.000,0.000,0.000,40.470
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133759684397','24001','20260',PM,S,O2,01*,'02',59.0235,1.990,0.000,5.940,'430',,0.000,0.000,0.000,0.000,0.000,0.000,3.950
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133761085715','87501','20260',PM,B,O1,'07','07',68.0823,1.990,0.000,28.450,'430',,0.000,0.000,0.000,0.000,0.000,0.000,26.460
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133761182048','25505','20260',PM,A,O2,'03','03',31.6075,1.990,0.000,7.520,'430',,0.000,0.000,0.000,0.000,0.000,0.000,5.530
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133762227260','35601','20260',PM,B,SP,'04','04',48.2653,1.990,0.000,36.930,'430',,0.000,0.000,0.000,0.000,0.000,0.000,34.940
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133763253416','87501','20260',PM,B,O1,'07','07',16.5812,1.990,0.000,28.450,'430',,0.000,0.000,0.000,0.000,0.000,0.000,26.460
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133763379512','35601','20260',PM,S,O2,'04','04',55.3356,1.990,0.000,9.240,'430',,0.000,0.000,0.000,0.000,0.000,0.000,7.250
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133764068677','25505','20260',PM,D,O4,'03','03',54.3067,1.990,0.000,20.910,'430',,0.000,0.000,0.000,0.000,0.000,0.000,18.920
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133766059415','20260','20260',PM,A,O1,'01','01',39.3229,1.990,0.000,7.680,'430',,0.000,0.000,0.000,0.000,0.000,0.000,5.690
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133766394697','87501','20260',PM,B,O3,'07','07',23.3693,1.990,0.000,28.270,'430',,0.000,0.000,0.000,0.000,0.000,0.000,26.280
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133768535119','74333','20260',PM,S,O4,'06','06',47.8890,1.990,0.000,48.960,'430',,0.000,0.000,0.000,0.000,0.000,0.000,46.970
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133770711987','24001','20260',PM,B,O4,01*,'02',21.7733,1.990,0.000,13.110,'430',,0.000,0.000,0.000,0.000,0.000,0.000,11.120
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133770736380','74333','20260',PM,S,O3,'06','06',37.5147,1.990,0.000,26.700,'430',,0.000,0.000,0.000,0.000,0.000,0.000,24.710
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133771801222','61001','20260',PM,F,O1,'05','05',48.4864,1.990,0.000,22.490,'430',,0.000,0.000,0.000,0.000,0.000,0.000,20.500
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133771927451','20260','20260',PM,A,O4,'01','01',13.9467,1.990,0.000,13.110,'430',,0.000,0.000,0.000,0.000,0.000,0.000,11.120
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133772517307','61001','20260',PM,B,O2,'05','05',55.6802,1.990,0.000,16.100,'430',,0.000,0.000,0.000,0.000,0.000,0.000,14.110
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133772909094','87501','20260',PM,F,SP,'07','07',34.6996,1.990,0.000,49.100,'430',,0.000,0.000,0.000,0.000,0.000,0.000,47.110
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133773584621','24001','20260',PM,A,O2,01*,'02',43.1928,1.990,0.000,5.940,'430',,0.000,0.000,0.000,0.000,0.000,0.000,3.950
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133774256445','90210','20260',PM,F,O3,'08','08',54.5677,1.990,0.000,35.880,'430',,0.000,0.000,0.000,0.000,0.000,0.000,33.890
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133775397526','87501','20260',PM,S,SP,'07','07',36.5002,1.990,0.000,51.720,'430',,0.000,0.000,0.000,0.000,0.000,0.000,49.730
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133777456479','35601','20260',PM,F,O3,'04','04',22.3382,1.990,0.000,14.460,'430',,0.000,0.000,0.000,0.000,0.000,0.000,12.470
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133778162411','25505','20260',PM,S,O4,'03','03',4.0478,1.990,0.000,17.330,'430',,0.000,0.000,0.000,0.000,0.000,0.000,15.340
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133780399132','61001','20260',PM,D,O3,'05','05',65.3423,1.990,0.000,24.690,'430',,0.000,0.000,0.000,0.000,0.000,0.000,22.700
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133780514683','74333','20260',PM,B,SP,'06','06',32.0462,1.990,0.000,41.140,'430',,0.000,0.000,0.000,0.000,0.000,0.000,39.150
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133789556390','87501','20260',PM,D,O3,'07','07',15.9668,1.990,0.000,30.520,'430',,0.000,0.000,0.000,0.000,0.000,0.000,28.530
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133791713326','90210','20260',PM,B,O2,'08','08',12.5963,1.990,0.000,19.320,'430',,0.000,0.000,0.000,0.000,0.000,0.000,17.330
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133792411761','61001','20260',PM,F,O2,'05','05',50.0045,1.990,0.000,16.100,'430',,0.000,0.000,0.000,0.000,0.000,0.000,14.110
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133795455943','25505','20260',PM,D,O2,'03','03',28.7207,1.990,0.000,9.170,'430',,0.000,0.000,0.000,0.000,0.000,0.000,7.180
