Tracking Number,PC,RI,DRI,Length,Height,Width,Weight,Zone,Base Rate,Plus Rate
'4202026000009212399000133744545527',O,SP,F,00000,00000,00000,0054.6754,00,27.81,26.98
'4202026000009212399000133740425249',O,SP,S,00000,00000,00000,0028.9610,04,31.54,25.89
'4202026000009212399000133725299819',O,SP,S,00000,00000,00000,0068.5290,00,33.76,32.74
'4202026000009212399000133775397526',O,SP,S,00000,00000,00000,0036.5002,07,63.51,51.72
'4202026000009202599000133708241179',5,BN,N,00000,00000,00000,0014.9158,03,21.08,16.68
'4202026000009202599000133724488593',5,BN,N,00000,00000,00000,0013.5977,00,16.53,12.94
'4202026000009202599000133750649965',5,BN,N,00000,00000,00000,0000.9313,00,16.53,12.94
'4202026000009202599000133752257146',5,DN,N,01400,01400,01400,0063.1690,08,106.54,104.61
'4202026000009202599000133767883259',5,DN,N,01400,01400,01400,0038.7624,06,59.27,48.21
'4202026000009202599000133718625161',5,DN,N,01400,01400,01400,12.0,08,37.94,34.14
'4202026000009202599000133774241628',5,DR,N,01400,01400,01400,0058.6014,08,99.60,97.76
'4202026000009202599000133770183483',5,DR,N,01400,01400,01400,15.0,07,36.47,32.90
'4202026000009202599000133725117928',5,DR,N,01400,01400,01400,15.0,06,33.36,29.96
'4202026000009202599000133795672933',5,FB,N,00000,00000,00000,0013.2023,00,11.30,10.65
'4202026000009202599000133734407187',5,FB,N,00000,00000,00000,0016.4101,00,11.30,10.65
'4202026000009202599000133760258086',5,FB,N,00000,00000,00000,0018.8486,00,11.30,10.65
'4202026000009202599000133744911362',5,FE,N,00000,00000,00000,0015.7071,00,5.05,4.95
'4202026000009202599000133718405168',5,FE,N,00000,00000,00000,0045.9143,00,5.05,4.95
'4202026000009202599000133732929149',5,FE,N,00000,00000,00000,0010.9751,00,5.05,4.95
'4202026000009202599000133713823025',2,FE,N,00000,00000,00000,0019.6123,00,5.05,4.95
'4202026000009202599000133779866717',2,FE,N,00000,00000,00000,0015.9102,00,5.05,4.95
'4202026000009202599000133782095532',2,FE,N,00000,00000,00000,0021.3069,00,5.05,4.95
'4202026000009202599000133758952934',5,FS,N,00000,00000,00000,0049.3488,00,5.15,5.10
'4202026000009202599000133759688984',5,FS,N,00000,00000,00000,0020.8994,00,5.15,5.10
'4202026000009202599000133736456113',5,FS,N,00000,00000,00000,0063.4627,00,5.15,5.10
'4202026000009202599000133756463978',5,PL,N,00000,00000,00000,0048.4370,00,15.30,14.80
'4202026000009202599000133729360450',5,PL,N,00000,00000,00000,0041.7642,00,15.30,14.80
'4202026000009202599000133725100091',5,PL,N,00000,00000,00000,0030.9675,00,15.30,14.80
'4202026000009202599000133713317027',5,PM,N,00000,00000,00000,0002.3099,08,13.30,12.80
'4202026000009202599000133767245979',5,PM,N,00000,00000,00000,0045.8597,08,13.30,12.80
'4202026000009202599000133768301415',5,PM,N,00000,00000,00000,0069.5164,08,13.30,12.80
'4202026000009202599000133714847098',5,FP,N,00000,00000,00000,0005.6785,00,5.70,5.35
'4202026000009202599000133799078459',5,FP,N,00000,00000,00000,0026.4124,00,5.70,5.35
'4202026000009202599000133776203112',5,FP,N,00000,00000,00000,0068.0420,00,5.70,5.35
'4202026000009202599000133728100524',2,FP,N,00000,00000,00000,0005.5604,00,5.70,5.35
'4202026000009202599000133794988723',2,FP,N,00000,00000,00000,0052.3505,00,5.70,5.35
'4202026000009202599000133706277719',2,FP,N,00000,00000,00000,0037.2794,00,5.70,5.35
'4202026000009202599000133705819689',2,FA,N,00000,00000,00000,0056.9906,00,5.25,4.99
'4202026000009202599000133718238427',2,FA,N,00000,00000,00000,0060.5966,00,5.25,4.99
'4202026000009202599000133754871001',2,FA,N,00000,00000,00000,0019.8939,00,5.25,4.99
'4202026000009202599000133734620245',5,CP,N,4.75,4.75,4.75,0011.3104,00,,4.58
'4202026000009202599000133755685203',5,CP,N,7.0,7.0,7.0,0006.0331,06,,5.73
'4202026000009202599000133711530867',5,CP,N,1.5,1.5,1.5,0019.4562,08,,5.82
'4202026000009202599000133761307752',3,CP,N,6.25,6.25,6.25,0010.4302,00,,5.01
'4202026000009202599000133789219486',3,CP,N,4.25,4.25,4.25,0009.4969,00,,4.58
'4202026000009202599000133701052670',3,CP,N,1.5,1.5,1.5,0014.4947,00,,4.58
'4202026000009202599000133765698704',3,P5,N,5.25,5.25,5.25,0011.1327,05,,4.99
'4202026000009202599000133721970870',3,SP,N,11.25,11.25,11.25,0002.2620,05,9.03,8.63
'4202026000009202599000133772192283',3,P5,N,0.25,0.25,0.25,0012.6829,00,,4.58
'4202026000009202599000133726520119',3,P6,N,3.25,3.25,3.25,0009.9560,05,,4.99
'4202026000009202599000133773344566',3,P6,N,9.25,9.25,9.25,0012.6222,03,,7.48
'4202026000009202599000133704542728',3,P6,N,3.0,3.0,3.0,0019.3060,05,,4.99
'4202026000009202599000133738108816',3,P7,N,5.25,5.25,5.25,0000.7358,00,,4.58
'4202026000009202599000133753338546',3,P7,N,2.25,2.25,2.25,0001.8252,00,,4.58
'4202026000009202599000133797471202',3,P7,N,9.5,9.5,9.5,0002.7756,05,,11.54
'4202026000009202599000133757862189',3,SP,N,10.0,10.0,10.0,0013.6684,00,13.55,10.77
'4202026000009202599000133777650899',3,P8,N,2.5,2.5,2.5,0016.1225,00,,4.58
'4202026000009202599000133708463418',3,P8,N,5.5,5.5,5.5,0006.3177,00,,4.58
'4202026000009202599000133731653997',3,P9,N,2.5,2.5,2.5,0014.3368,08,,5.82
'4202026000009202599000133703338043',3,P9,N,1.25,1.25,1.25,0002.7403,00,,4.58
'4202026000009202599000133785246919',3,P9,N,5.5,5.5,5.5,0001.4331,05,,4.99
'4202026000009202599000133799682248',3,C6,N,00000,00000,00000,0000.4551,08,9.88,9.88
'4202026000009202599000133764318137',3,C6,N,00000,00000,00000,0006.6934,07,8.90,8.90
'4202026000009202599000133794337505',3,C6,N,00000,00000,00000,0012.7933,00,5.32,5.32
'4202026000009202599000133755231262',3,C7,N,00000,00000,00000,0002.9788,08,16.13,16.13
'4202026000009202599000133772025279',3,C7,N,00000,00000,00000,0019.9655,06,13.25,13.25
'4202026000009202599000133768122535',3,C7,N,00000,00000,00000,0005.1425,03,7.36,7.36
'4202026000009202599000133750129650',3,C8,N,00000,00000,00000,0004.6051,04,23.41,23.41
'4202026000009202599000133730446104',3,C8,N,00000,00000,00000,0020.3772,00,15.11,15.11
'4202026000009202599000133737745299',3,C8,N,00000,00000,00000,0020.7706,04,23.41,23.41
'4202026000009202599000133765488706',1,AL,N,00000,00000,00000,0000.0202,00,3.50,3.50
'4202026000009202599000133778801260',1,AL,N,00000,00000,00000,0000.0891,00,3.50,3.50
'4202026000009202599000133755375453',1,AL,N,00000,00000,00000,0000.0711,00,3.50,3.50
'4202026000009202599000133727425002',2,AF,N,00000,00000,00000,0000.1266,00,4.50,4.50
'4202026000009202599000133794927286',2,AF,N,00000,00000,00000,0000.0191,00,4.50,4.50
'4202026000009202599000133735438785',2,AF,N,00000,00000,00000,0000.1239,00,4.50,4.50
'4202026000009212399000133761085715',O,O1,B,00000,00000,00000,0068.0823,07,,28.45
'4202026000009212399000133763253416',O,O1,B,00000,00000,00000,0016.5812,07,,28.45
'4202026000009212399000133702714807',O,O1,B,00000,00000,00000,0034.3071,00,,7.68
'4202026000009212399000133718864447',O,O1,S,00000,00000,00000,0059.9787,06,,26.58
'4202026000009212399000133736358790',O,O1,S,00000,00000,00000,0025.0473,07,,28.45
'4202026000009212399000133704113559',O,O1,S,00000,00000,00000,0020.0681,06,,26.58
'4202026000009212399000133771801222',O,O1,F,00000,00000,00000,0048.4864,05,,22.49
'4202026000009212399000133740996398',O,O1,F,00000,00000,00000,0037.9693,08,,31.80
'4202026000009212399000133713674246',O,O1,F,00000,00000,00000,0008.9174,04,,12.33
'4202026000009212399000133715554065',O,O1,A,00000,00000,00000,0057.9238,06,,26.58
'4202026000009212399000133704607665',O,O1,A,00000,00000,00000,0059.0914,00,,7.68
'4202026000009212399000133766059415',O,O1,A,00000,00000,00000,0039.3229,00,,7.68
'4202026000009212399000133706747564',O,O1,D,00000,00000,00000,0026.3229,07,,31.69
'4202026000009212399000133709433112',O,O1,D,00000,00000,00000,0032.5983,05,,25.95
'4202026000009212399000133713336178',O,O1,D,00000,00000,00000,0026.0265,00,,10.18
'4202026000009212399000133791713326',O,O2,B,00000,00000,00000,0012.5963,08,,19.32
'4202026000009212399000133753286592',O,O2,B,00000,00000,00000,0044.9404,03,,7.52
'4202026000009212399000133772517307',O,O2,B,00000,00000,00000,0055.6802,05,,16.10
'4202026000009212399000133759684397',O,O2,S,00000,00000,00000,0059.0235,00,,5.94
'4202026000009212399000133763379512',O,O2,S,00000,00000,00000,0055.3356,04,,9.24
'4202026000009212399000133745099992',O,O2,S,00000,00000,00000,0031.7848,05,,16.10
'4202026000009212399000133715463075',O,O2,F,00000,00000,00000,0062.3443,08,,19.32
'4202026000009212399000133734718808',O,O2,F,00000,00000,00000,0033.4369,08,,19.32
'4202026000009212399000133792411761',O,O2,F,00000,00000,00000,0050.0045,05,,16.10
'4202026000009212399000133773584621',O,O2,A,00000,00000,00000,0043.1928,00,,5.94
'4202026000009212399000133761182048',O,O2,A,00000,00000,00000,0031.6075,03,,7.52
'4202026000009212399000133701503767',O,O2,A,00000,00000,00000,0001.7539,04,,9.24
'4202026000009212399000133703818963',O,O2,D,00000,00000,00000,0044.6175,06,,18.06
'4202026000009212399000133795455943',O,O2,D,00000,00000,00000,0028.7207,03,,9.17
'4202026000009212399000133700570461',O,O2,D,00000,00000,00000,0067.8328,04,,11.08
'4202026000009212399000133709959411',O,O4,B,00000,00000,00000,0016.8233,05,,40.09
'4202026000009212399000133770711987',O,O4,B,00000,00000,00000,0021.7733,00,,13.11
'4202026000009212399000133711125235',O,O4,B,00000,00000,00000,0022.6258,06,,48.96
'4202026000009212399000133768535119',O,O4,S,00000,00000,00000,0047.8890,06,,48.96
'4202026000009212399000133778162411',O,O4,S,00000,00000,00000,0004.0478,03,,17.33
'4202026000009212399000133729669233',O,O4,S,00000,00000,00000,0009.4698,07,,53.30
'4202026000009212399000133743393562',O,O4,F,00000,00000,00000,0017.2918,00,,13.11
'4202026000009212399000133717643048',O,O4,F,00000,00000,00000,0052.1963,03,,17.33
'4202026000009212399000133726357946',O,O4,F,00000,00000,00000,0038.9815,07,,53.30
'4202026000009212399000133703763688',O,O4,A,00000,00000,00000,0036.1532,06,,48.96
'4202026000009212399000133752170416',O,O4,A,00000,00000,00000,0033.6248,00,,13.11
'4202026000009212399000133771927451',O,O4,A,00000,00000,00000,0013.9467,00,,13.11
'4202026000009212399000133714119884',O,O4,D,00000,00000,00000,0068.6767,08,,63.51
'4202026000009212399000133731878663',O,O4,D,00000,00000,00000,0012.5125,06,,52.78
'4202026000009212399000133764068677',O,O4,D,00000,00000,00000,0054.3067,03,,20.91
'4202026000009212399000133757703550',O,O3,B,00000,00000,00000,0023.8137,00,,9.16
'4202026000009212399000133725606228',O,O3,B,00000,00000,00000,0049.1929,00,,9.16
'4202026000009212399000133766394697',O,O3,B,00000,00000,00000,0023.3693,07,,28.27
'4202026000009212399000133706500897',O,O3,S,00000,00000,00000,0038.1923,07,,28.27
'4202026000009212399000133729513827',O,O3,S,00000,00000,00000,0034.7335,03,,10.62
'4202026000009212399000133770736380',O,O3,S,00000,00000,00000,0037.5147,06,,26.70
'4202026000009212399000133733701612',O,O3,F,00000,00000,00000,0034.4103,04,,14.46
'4202026000009212399000133774256445',O,O3,F,00000,00000,00000,0054.5677,08,,35.88
'4202026000009212399000133777456479',O,O3,F,00000,00000,00000,0022.3382,04,,14.46
'4202026000009212399000133739208553',O,O3,A,00000,00000,00000,0040.1899,03,,10.62
'4202026000009212399000133707803482',O,O3,A,00000,00000,00000,0004.3467,07,,28.27
'4202026000009212399000133749902518',O,O3,A,00000,00000,00000,0067.8999,08,,35.88
'4202026000009212399000133780399132',O,O3,D,00000,00000,00000,0065.3423,05,,24.69
'4202026000009212399000133757855968',O,O3,D,00000,00000,00000,0030.2882,07,,30.52
'4202026000009212399000133789556390',O,O3,D,00000,00000,00000,0015.9668,07,,30.52
'4202026000009212399000133729755679',O,O6,B,00000,00000,00000,2056.2182,04,,
'4202026000009212399000133701656406',O,O6,B,00000,00000,00000,0433.3255,00,,
'4202026000009212399000133783745762',O,O6,B,00000,00000,00000,1283.1388,03,,
'4202026000009212399000133795318783',O,O6,S,00000,00000,00000,1710.4866,00,,
'4202026000009212399000133754166964',O,O6,S,00000,00000,00000,0025.7238,05,,
'4202026000009212399000133707411843',O,O6,S,00000,00000,00000,0515.5113,00,,
'4202026000009212399000133719863053',O,O6,F,00000,00000,00000,0034.6200,00,,
'4202026000009212399000133753003715',O,O6,F,00000,00000,00000,2178.0512,05,,
'4202026000009212399000133722603145',O,O6,F,00000,00000,00000,0387.3464,03,,
'4202026000009212399000133790715359',O,O6,A,00000,00000,00000,0335.4095,00,,
'4202026000009212399000133726049056',O,O6,A,00000,00000,00000,0288.5962,00,,
'4202026000009212399000133771943648',O,O6,A,00000,00000,00000,1997.9771,00,,
'4202026000009212399000133762336707',O,O6,D,00000,00000,00000,0099.8658,00,,
'4202026000009212399000133734362919',O,O6,D,00000,00000,00000,1108.8618,00,,
'4202026000009212399000133754963625',O,O6,D,00000,00000,00000,0263.1122,00,,
'4202026000009212399000133717345669',O,O7,B,00000,00000,00000,2038.2812,04,,
'4202026000009212399000133746943813',O,O7,B,00000,00000,00000,1608.7835,04,,
'4202026000009212399000133736316045',O,O7,B,00000,00000,00000,1750.1753,04,,
'4202026000009212399000133732519248',O,O7,S,00000,00000,00000,1570.0255,04,,
'4202026000009212399000133759506526',O,O7,S,00000,00000,00000,0207.7593,04,,
'4202026000009212399000133725925665',O,O7,S,00000,00000,00000,2137.7052,04,,
'4202026000009212399000133749419324',O,O7,F,00000,00000,00000,0188.6563,00,,
'4202026000009212399000133790848274',O,O7,F,00000,00000,00000,0762.7894,03,,
'4202026000009212399000133731306657',O,O7,F,00000,00000,00000,0727.2073,05,,
'4202026000009212399000133748080428',O,O7,A,00000,00000,00000,1708.7541,05,,
'4202026000009212399000133733322839',O,O7,A,00000,00000,00000,0435.4948,00,,
'4202026000009212399000133785207992',O,O7,A,00000,00000,00000,0437.7008,00,,
'4202026000009212399000133721985115',O,O7,D,00000,00000,00000,1077.0677,03,,
'4202026000009212399000133761450182',O,O7,D,00000,00000,00000,1206.5250,00,,
'4202026000009212399000133785194832',O,O7,D,00000,00000,00000,1937.5821,00,,
'4202026000009212399000133734010930',O,O5,B,00000,00000,00000,0609.0727,03,,
'4202026000009212399000133747642309',O,O5,B,00000,00000,00000,1491.3099,05,,
'4202026000009212399000133738695943',O,O5,B,00000,00000,00000,0705.2846,03,,
'4202026000009212399000133742350526',O,O5,S,00000,00000,00000,1595.7917,00,,
'4202026000009212399000133706967022',O,O5,S,00000,00000,00000,2049.2260,00,,
'4202026000009212399000133763066628',O,O5,S,00000,00000,00000,0841.7191,05,,
'4202026000009212399000133731392746',O,O5,F,00000,00000,00000,1531.4414,03,,
'4202026000009212399000133799160591',O,O5,F,00000,00000,00000,1269.5839,00,,
'4202026000009212399000133770875154',O,O5,F,00000,00000,00000,1134.9865,04,,
'4202026000009212399000133764138886',O,O5,A,00000,00000,00000,1080.8995,00,,
'4202026000009212399000133731265091',O,O5,A,00000,00000,00000,0263.8573,05,,
'4202026000009212399000133770607046',O,O5,A,00000,00000,00000,0216.7437,05,,
'4202026000009212399000133740931778',O,O5,D,00000,00000,00000,0336.6916,03,,
'4202026000009212399000133732451005',O,O5,D,00000,00000,00000,0861.8152,00,,
'4202026000009212399000133748272295',O,O5,D,00000,00000,00000,1828.5797,05,,
