Mailing Date,Trans Date,File Number,Sub File Number,PIC,Dest ZIP,Entry Facility ZIP,Mail Class,Dest Rate,Rate,eVS Zone,Mailer Zone,Weight,Man Postg ($),Man Surch ($),eVS Postage + Surch ($),Extra Serv code 1,Extra Serv code 2,Man Extra Serv fee 1($),Man Extra Serv fee 2($),eVS Extra Serv fee 1($),eVS Extra Serv fee 2($),Man Addl Sp Fee ($),eVS Addl Sp Fee ($),Total Variance ($)
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133714847098','20260','20260',PM,N,FP,'00','00',5.6785,1.990,0.000,5.350,,,0.000,0.000,0.000,0.000,0.000,0.000,3.360
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133715925875','25505','20260',PM,N,SP,'03','03',26.4153,1.990,0.000,18.370,,,0.000,0.000,0.000,0.000,0.000,0.000,16.380
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133716059727','20260','20260',PM,N,SP,'01','01',38.9085,1.990,0.000,20.480,,,0.000,0.000,0.000,0.000,0.000,0.000,18.490
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133718238427','20260','20260',PM,N,FA,'00','00',60.5966,1.990,0.000,4.990,,,0.000,0.000,0.000,0.000,0.000,0.000,3.000
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133718405168','20260','20260',PM,N,FE,'00','00',45.9143,1.990,0.000,4.950,,,0.000,0.000,0.000,0.000,0.000,0.000,2.960
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133718625161','90210','20260',PM,N,DN,'08','08',12.0000,1.990,0.000,34.140,,,0.000,0.000,0.000,0.000,0.000,0.000,32.150
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133721644264','90210','20260',PM,N,SP,'08','08',62.9185,1.990,0.000,103.000,,,0.000,0.000,0.000,0.000,0.000,0.000,101.010
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133721970870','61001','20260',PM,N,SP,'05','05',2.2620,1.990,0.000,8.630,,,0.000,0.000,0.000,0.000,0.000,0.000,6.640
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133724488593','20260','20260',PM,N,BN,'01','01',13.5977,1.990,0.000,12.940,,,0.000,0.000,0.000,0.000,0.000,0.000,10.950
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133725100091','20260','20260',PM,N,PL,'00','00',30.9675,1.990,0.000,14.800,,,0.000,0.000,0.000,0.000,0.000,0.000,12.810
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133725117928','74333','20260',PM,N,DR,'06','06',15.0000,1.990,0.000,29.960,,,0.000,0.000,0.000,0.000,0.000,0.000,27.970
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133726520119','61001','20260',PM,N,P6,'05','05',9.9560,1.990,0.000,4.990,,,0.000,0.000,0.000,0.000,0.000,0.000,3.000
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133728100524','20260','20260',PM,N,FP,'00','00',5.5604,1.990,0.000,5.350,,,0.000,0.000,0.000,0.000,0.000,0.000,3.360
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133729360450','20260','20260',PM,N,PL,'00','00',41.7642,1.990,0.000,14.800,,,0.000,0.000,0.000,0.000,0.000,0.000,12.810
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133730446104','20260','20260',PM,N,C8,'01','01',20.3772,1.990,0.000,15.110,,,0.000,0.000,0.000,0.000,0.000,0.000,13.120
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133731653997','90210','20260',PM,N,P9,'08','08',14.3368,1.990,0.000,5.820,,,0.000,0.000,0.000,0.000,0.000,0.000,3.830
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133732067250','25505','20260',PM,N,SP,'03','03',42.6425,1.990,0.000,25.140,,,0.000,0.000,0.000,0.000,0.000,0.000,23.150
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133732929149','20260','20260',PM,N,FE,'00','00',10.9751,1.990,0.000,4.950,,,0.000,0.000,0.000,0.000,0.000,0.000,2.960
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133734407187','20260','20260',PM,N,FB,'00','00',16.4101,1.990,0.000,10.650,,,0.000,0.000,0.000,0.000,0.000,0.000,8.660
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133734620245','24001','20260',PM,N,CP,01*,'02',11.3104,1.990,0.000,4.580,,,0.000,0.000,0.000,0.000,0.000,0.000,2.590
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133735166981','20260','20260',PM,N,SP,'01','01',21.0226,1.990,0.000,13.630,,,0.000,0.000,0.000,0.000,0.000,0.000,11.640
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133736456113','20260','20260',PM,N,FS,'00','00',63.4627,1.990,0.000,5.100,,,0.000,0.000,0.000,0.000,0.000,0.000,3.110
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133737745299','35601','20260',PM,N,C8,'04','04',20.7706,1.990,0.000,23.410,,,0.000,0.000,0.000,0.000,0.000,0.000,21.420
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133738108816','20260','20260',PM,N,P7,'01','01',0.7358,1.990,0.000,4.580,,,0.000,0.000,0.000,0.000,0.000,0.000,2.590
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133741907901','24001','20260',PM,N,SP,01*,'02',9.0392,1.990,0.000,9.290,,,0.000,0.000,0.000,0.000,0.000,0.000,7.300
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133744911362','20260','20260',PM,N,FE,'00','00',15.7071,1.990,0.000,4.950,,,0.000,0.000,0.000,0.000,0.000,0.000,2.960
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133750129650','35601','20260',PM,N,C8,'04','04',4.6051,1.990,0.000,23.410,,,0.000,0.000,0.000,0.000,0.000,0.000,21.420
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133750649965','24001','20260',PM,N,BN,01*,'02',0.9313,1.990,0.000,12.940,,,0.000,0.000,0.000,0.000,0.000,0.000,10.950
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133752257146','90210','20260',PM,N,DN,'08','08',63.1690,1.990,0.000,104.610,,,0.000,0.000,0.000,0.000,0.000,0.000,102.620
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133753338546','20260','20260',PM,N,P7,'01','01',1.8252,1.990,0.000,4.580,,,0.000,0.000,0.000,0.000,0.000,0.000,2.590
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133754871001','20260','20260',PM,N,FA,'00','00',19.8939,1.990,0.000,4.990,,,0.000,0.000,0.000,0.000,0.000,0.000,3.000
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133755231262','90210','20260',PM,N,C7,'08','08',2.9788,1.990,0.000,16.130,,,0.000,0.000,0.000,0.000,0.000,0.000,14.140
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133755685203','74333','20260',PM,N,CP,'06','06',6.0331,1.990,0.000,5.730,,,0.000,0.000,0.000,0.000,0.000,0.000,3.740
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133756463978','20260','20260',PM,N,PL,'00','00',48.4370,1.990,0.000,14.800,,,0.000,0.000,0.000,0.000,0.000,0.000,12.810
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133757862189','20260','20260',PM,N,SP,'01','01',13.6684,1.990,0.000,10.770,,,0.000,0.000,0.000,0.000,0.000,0.000,8.780
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133758952934','20260','20260',PM,N,FS,'00','00',49.3488,1.990,0.000,5.100,,,0.000,0.000,0.000,0.000,0.000,0.000,3.110
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133759688984','20260','20260',PM,N,FS,'00','00',20.8994,1.990,0.000,5.100,,,0.000,0.000,0.000,0.000,0.000,0.000,3.110
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133760258086','20260','20260',PM,N,FB,'00','00',18.8486,1.990,0.000,10.650,,,0.000,0.000,0.000,0.000,0.000,0.000,8.660
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133761307752','20260','20260',PM,N,CP,'01','01',10.4302,1.990,0.000,5.010,,,0.000,0.000,0.000,0.000,0.000,0.000,3.020
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133764318137','87501','20260',PM,N,C6,'07','07',6.6934,1.990,0.000,8.900,,,0.000,0.000,0.000,0.000,0.000,0.000,6.910
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133765698704','61001','20260',PM,N,P5,'05','05',11.1327,1.990,0.000,4.990,,,0.000,0.000,0.000,0.000,0.000,0.000,3.000
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133765987013','61001','20260',PM,N,SP,'05','05',11.8531,1.990,0.000,22.830,,,0.000,0.000,0.000,0.000,0.000,0.000,20.840
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133767245979','96303','20260',PM,N,PM,00*,'08',45.8597,1.990,0.000,12.800,,,0.000,0.000,0.000,0.000,0.000,0.000,10.810
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133767883259','74333','20260',PM,N,DN,'06','06',38.7624,1.990,0.000,48.210,,,0.000,0.000,0.000,0.000,0.000,0.000,46.220
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133768122535','25505','20260',PM,N,C7,'03','03',5.1425,1.990,0.000,7.360,,,0.000,0.000,0.000,0.000,0.000,0.000,5.370
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133768301415','96303','20260',PM,N,PM,00*,'08',69.5164,1.990,0.000,12.800,,,0.000,0.000,0.000,0.000,0.000,0.000,10.810
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133770183483','87501','20260',PM,N,DR,'07','07',15.0000,1.990,0.000,32.900,,,0.000,0.000,0.000,0.000,0.000,0.000,30.910
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133772025279','74333','20260',PM,N,C7,'06','06',19.9655,1.990,0.000,13.250,,,0.000,0.000,0.000,0.000,0.000,0.000,11.260
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133772192283','20260','20260',PM,N,P5,'01','01',12.6829,1.990,0.000,4.580,,,0.000,0.000,0.000,0.000,0.000,0.000,2.590
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133773187956','61001','20260',PM,N,SP,'05','05',36.1081,1.990,0.000,38.420,,,0.000,0.000,0.000,0.000,0.000,0.000,36.430
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133773344566','25505','20260',PM,N,P6,'03','03',12.6222,1.990,0.000,7.480,,,0.000,0.000,0.000,0.000,0.000,0.000,5.490
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133774241628','90210','20260',PM,N,DR,'08','08',58.6014,1.990,0.000,97.760,,,0.000,0.000,0.000,0.000,0.000,0.000,95.770
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133776203112','20260','20260',PM,N,FP,'00','00',68.0420,1.990,0.000,5.350,,,0.000,0.000,0.000,0.000,0.000,0.000,3.360
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133777650899','24001','20260',PM,N,P8,01*,'02',16.1225,1.990,0.000,4.580,,,0.000,0.000,0.000,0.000,0.000,0.000,2.590
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133779866717','20260','20260',PM,N,FE,'00','00',15.9102,1.990,0.000,4.950,,,0.000,0.000,0.000,0.000,0.000,0.000,2.960
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133780748359','61001','20260',PM,N,SP,'05','05',58.8893,1.990,0.000,57.920,,,0.000,0.000,0.000,0.000,0.000,0.000,55.930
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133782095532','20260','20260',PM,N,FE,'00','00',21.3069,1.990,0.000,4.950,,,0.000,0.000,0.000,0.000,0.000,0.000,2.960
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133785246919','61001','20260',PM,N,P9,'05','05',1.4331,1.990,0.000,4.990,,,0.000,0.000,0.000,0.000,0.000,0.000,3.000
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133789219486','20260','20260',PM,N,CP,'01','01',9.4969,1.990,0.000,4.580,,,0.000,0.000,0.000,0.000,0.000,0.000,2.590
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133792990433','25505','20260',PM,N,SP,'03','03',30.6524,1.990,0.000,19.240,,,0.000,0.000,0.000,0.000,0.000,0.000,17.250
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133794337505','24001','20260',PM,N,C6,01*,'02',12.7933,1.990,0.000,5.320,,,0.000,0.000,0.000,0.000,0.000,0.000,3.330
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133794988723','20260','20260',PM,N,FP,'00','00',52.3505,1.990,0.000,5.350,,,0.000,0.000,0.000,0.000,0.000,0.000,3.360
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133795672933','20260','20260',PM,N,FB,'00','00',13.2023,1.990,0.000,10.650,,,0.000,0.000,0.000,0.000,0.000,0.000,8.660
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133797471202','61001','20260',PM,N,P7,'05','05',2.7756,1.990,0.000,11.540,,,0.000,0.000,0.000,0.000,0.000,0.000,9.550
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133799078459','20260','20260',PM,N,FP,'00','00',26.4124,1.990,0.000,5.350,,,0.000,0.000,0.000,0.000,0.000,0.000,3.360
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009202599000133799682248','90210','20260',PM,N,C6,'08','08',0.4551,1.990,0.000,9.880,,,0.000,0.000,0.000,0.000,0.000,0.000,7.890
